acceptance_id,requirement_id,section_ref,applies_to,evidence_type,test_path,fixture,scenario,expected_assertion,release_blocker
HSD-ACC-PDF-005,HSD-REQ-PDF-005,§6,pdf-agent|md,hybrid,tests/formats/acceptance/hsd-acc-pdf-005.test.ts;tests/manual/evidence/hsd-acc-pdf-005.md,tests/fixtures/formats/pdf/hsd-acc-pdf-005/,every PDF Agent resource boundary,bytes／pages／objects／streams／pixels／timeout／RSS boundary−1、boundary、boundary+1；超限清除 partial MD／OCR temp,true
HSD-ACC-TXT-001,HSD-REQ-TXT-001,§11,txt,automated,tests/formats/acceptance/hsd-acc-txt-001.test.ts,tests/fixtures/formats/txt/hsd-acc-txt-001/,UTF-8 BOM＋CRLF＋no final newline,Token 正確，BOM／CRLF／尾端狀態保留,true
HSD-ACC-TXT-002,HSD-REQ-TXT-002,§11,txt,automated,tests/formats/acceptance/hsd-acc-txt-002.test.ts,tests/fixtures/formats/txt/hsd-acc-txt-002/,Big5／UTF-16／invalid UTF-8／NUL,明確阻擋，無猜測轉碼、無輸出,true
HSD-ACC-TXT-003,HSD-REQ-TXT-003,§11,txt,automated,tests/formats/acceptance/hsd-acc-txt-003.test.ts,tests/fixtures/formats/txt/hsd-acc-txt-003/,emoji／combining／長單行,span 正確，無 regex overflow，未修改 bytes 不變,true
HSD-ACC-TXT-004,HSD-REQ-TXT-004,§11,txt,automated,tests/formats/acceptance/hsd-acc-txt-004.test.ts,tests/fixtures/formats/txt/hsd-acc-txt-004/,reopen＋residual＋source hash,全綠才發布,true
HSD-ACC-TXT-005,HSD-REQ-TXT-005,§11,txt,automated,tests/formats/acceptance/hsd-acc-txt-005.test.ts,tests/fixtures/formats/txt/hsd-acc-txt-005/,C0／C1／bidi／zero-width／non-leading BOM,依 code-point policy 阻擋或逐項人工確認，無隱形正規化,true
HSD-ACC-CSV-001,HSD-REQ-CSV-001,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-001.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-001/,comma／tab／semicolon／ambiguous fixtures,唯一穩定方言自動採用；多解時白話確認；欄列與 raw bytes 對應正確且 LLM 不參與,true
HSD-ACC-CSV-002,HSD-REQ-CSV-002,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-002.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-002/,quoted newline／escaped quote／empty tail,欄位不位移，未修改列 byte-preserved,true
HSD-ACC-CSV-003,HSD-REQ-CSV-003,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-003.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-003/,inconsistent columns,預設阻擋並說明，無有損自動修復,true
HSD-ACC-CSV-004,HSD-REQ-CSV-004,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-004.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-004/,formula injection patterns,active content Gate 阻擋，不直接交 Excel,true
HSD-ACC-CSV-005,HSD-REQ-CSV-005,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-005.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-005/,large file limited preview,UI 顯示部分預覽，但完整文件被掃描與驗證,true
HSD-ACC-CSV-006,HSD-REQ-CSV-006,§12,csv,automated,tests/formats/acceptance/hsd-acc-csv-006.test.ts,tests/fixtures/formats/csv/hsd-acc-csv-006/,leading whitespace／controls／zero-width／fullwidth formula variants,canonical active-content predicate 在 Excel／LibreOffice fixtures 全部阻擋,true
HSD-ACC-DOCX-001,HSD-REQ-DOCX-001,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-001.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-001/,跨 runs 的手機／Email,logical extraction 與 run rewrite 精確，樣式保留,true
HSD-ACC-DOCX-002,HSD-REQ-DOCX-002,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-002.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-002/,tables／headers／footers／notes／comments／links,全部納入 inventory、preview、rewrite、residual,true
HSD-ACC-DOCX-003,HSD-REQ-DOCX-003,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-003.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-003/,tracked changes／deleted text,fail closed，原始 deleted text 不得進安全副本,true
HSD-ACC-DOCX-004,HSD-REQ-DOCX-004,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-004.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-004/,macro／encrypted／OLE／external link／signature,明確阻擋，無 artifact,true
HSD-ACC-DOCX-005,HSD-REQ-DOCX-005,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-005.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-005/,PNG／JPEG images,每張逐項確認，任何 pending 阻止輸出,true
HSD-ACC-DOCX-006,HSD-REQ-DOCX-006,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-006.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-006/,ZIP bomb／XXE／path traversal,資源內快速拒絕，無越界寫入,true
HSD-ACC-DOCX-007,HSD-REQ-DOCX-007,§13,docx,hybrid,tests/formats/acceptance/hsd-acc-docx-007.test.ts;tests/manual/evidence/hsd-acc-docx-007.md,tests/fixtures/formats/docx/hsd-acc-docx-007/,independent reopen,Word／LibreOffice 無修復提示，必要 parts／relationships 完整,true
HSD-ACC-DOCX-008,HSD-REQ-DOCX-008,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-008.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-008/,canary in hidden supported part or split across XML runs,全 entry inventory、logical reconstruction、parser residual 抓到並阻止發布；raw grep 不作唯一證據,true
HSD-ACC-DOCX-009,HSD-REQ-DOCX-009,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-009.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-009/,author／company／lastModifiedBy／comment author contains synthetic name,即使 detector 無 candidate 仍固定進人工檢查，未確認阻止輸出,true
HSD-ACC-DOCX-010,HSD-REQ-DOCX-010,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-010.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-010/,unknown part／relationship／AlternateContent／field／hidden style,entry 與 relationship 分類數量守恆；任何未分類項目阻擋,true
HSD-ACC-DOCX-011,HSD-REQ-DOCX-011,§13,docx,automated,tests/formats/acceptance/hsd-acc-docx-011.test.ts,tests/fixtures/formats/docx/hsd-acc-docx-011/,exact part／relationship allowlist plus mixed surfaces in one XML part,part closure 與 surface closure 分層守恆；numbering、properties、rels、media cardinality 全部可機械判定,true
HSD-ACC-XLSX-001,HSD-REQ-XLSX-001,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-001.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-001/,shared string used by multiple cells,只目標 cell 改變，其他 cells logical value 不變,true
HSD-ACC-XLSX-002,HSD-REQ-XLSX-002,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-002.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-002/,inline strings／hidden／veryHidden／links,全部納入 inventory、review、residual；comments 在 preflight 阻擋,true
HSD-ACC-XLSX-003,HSD-REQ-XLSX-003,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-003.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-003/,formatted numeric phone,raw／display 雙路偵測，型別變更揭露,true
HSD-ACC-XLSX-004,HSD-REQ-XLSX-004,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-004.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-004/,any formula／cached formula result,不論是否有敏感 candidate 或 replacement，一律在 preflight 阻擋,true
HSD-ACC-XLSX-005,HSD-REQ-XLSX-005,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-005.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-005/,DDE／WEBSERVICE／external reference／shared／array／data-table formula,一律阻擋；不得靠 parser 推測、清 cache 或原生 Excel 重算放行,true
HSD-ACC-XLSX-006,HSD-REQ-XLSX-006,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-006.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-006/,pivot／Power Query／external connection／macro,明確阻擋，無 artifact,true
HSD-ACC-XLSX-007,HSD-REQ-XLSX-007,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-007.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-007/,image／drawing／chart／text box,第一版全部 REJECT，無人工接受分支、無 artifact,true
HSD-ACC-XLSX-008,HSD-REQ-XLSX-008,§14,xlsx,hybrid,tests/formats/acceptance/hsd-acc-xlsx-008.test.ts;tests/manual/evidence/hsd-acc-xlsx-008.md,tests/fixtures/formats/xlsx/hsd-acc-xlsx-008/,independent reopen,formula-free Excel／LibreOffice 無修復提示，styles／merges／widths／heights 完整,true
HSD-ACC-XLSX-009,HSD-REQ-XLSX-009,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-009.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-009/,sheet name／defined name／author metadata contains synthetic name,固定進人工檢查，未確認阻止輸出；不得因缺少人名偵測而略過,true
HSD-ACC-XLSX-010,HSD-REQ-XLSX-010,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-010.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-010/,unknown part／relationship／cache／calcChain／chart／printerSettings,part／relationship／surface closure 成立；公式、cache、calcChain 與未列項目全部阻擋,true
HSD-ACC-XLSX-011,HSD-REQ-XLSX-011,§14,xlsx,automated,tests/formats/acceptance/hsd-acc-xlsx-011.test.ts,tests/fixtures/formats/xlsx/hsd-acc-xlsx-011/,formula workbook with zero replacements,仍阻擋，產出具 formula／cache locator 的 blocker evidence，無 artifact、無 Native Open,true
HSD-ACC-UX-001,HSD-REQ-UX-001,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-001.md,N/A,novice source selection,保留 Welcome／Client／Dashboard；只在已解鎖 v1.1 Job 的 source-selection step 顯示一個主要選檔入口,true
HSD-ACC-UX-002,HSD-REQ-UX-002,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-002.md,N/A,simplified Office preview,明確不是版面預覽，locator、coverage、pending count 可理解,true
HSD-ACC-UX-003,HSD-REQ-UX-003,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-003.md,N/A,post-export,條件式風險警告置頂；用預設程式開啟 inspection copy，不改權威 artifact,true
HSD-ACC-UX-004,HSD-REQ-UX-004,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-004.md,N/A,360／420／480 px,無水平溢位，touch target ≥44 px，按鈕不截字,true
HSD-ACC-UX-005,HSD-REQ-UX-005,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-005.md,N/A,keyboard／VoiceOver／Narrator,全流程可操作，非色彩唯一，錯誤與 pending 可朗讀,true
HSD-ACC-UX-006,HSD-REQ-UX-006,"§7,§18,§21",txt|csv|docx|xlsx,manual,tests/manual/evidence/hsd-acc-ux-006.md,N/A,no handler／wrong handler／external modification,不宣稱指定 Word／Excel；錯誤可復原；改過 inspection copy 標示 unverified,true
HSD-ACC-PERF-001,HSD-REQ-PERF-001,§19,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-perf-001.test.ts,tests/fixtures/formats/perf/hsd-acc-perf-001/,every resource／disk／concurrency／ZIP-ambiguity ceiling,每條限制各自測 boundary−1、boundary、boundary+1；duplicate／case collision／overlap／central-local mismatch 阻擋；超限原子 cleanup,true
HSD-ACC-REL-001,HSD-REQ-REL-001,"§16,§20-21,§25-26",txt|csv|docx|xlsx,hybrid,tests/formats/acceptance/hsd-acc-rel-001.test.ts;tests/manual/evidence/hsd-acc-rel-001.md,N/A,artifact read-back／SBOM／license／network／secret scans,全綠，bundle 與 installed hash 一致,true
HSD-ACC-REL-002,HSD-REQ-REL-002,"§1-5,§25-27",txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-rel-002.test.ts,N/A,per-format feature flag,只有通過該格式全部列才顯示正式支援,true
HSD-ACC-REL-003,HSD-REQ-REL-003,§24-27,txt|csv|docx|xlsx,automated,tests/formats/acceptance/hsd-acc-rel-003.test.ts,N/A,v1.1 traceability validator,零 orphan requirement、零缺 test path、零未標 release blocker,true
