clause_id,section,source_line,clause_sha256,requirement_ids,clause_text
HSD-CLAUSE-S02-004,§2,51,5f3e58807453b5acfb0a075ceae29a8771d451749ce76653f939fa2f445dfb06,HSD-REQ-REL-002,| HSD-DEC-013 | 解析方式 | 正式輸出不得由簡化預覽重建 | 必須對原容器副本做可追溯的局部 rewrite |
HSD-CLAUSE-S02-005,§2,52,0140ce124f31e91c9a25220348a3a6221d260a2f5abe8357168eefac8e1c997f,HSD-REQ-FND-002,| HSD-DEC-014 | 網路與模型 | 文件處理與模型推論為零網路、零遙測；模型執行元件必須隨外掛 `main.js` 發布，不得在執行時安裝或更新依賴。只有使用者明確選擇線上安裝時，才可由固定 HTTPS URL 下載固定 revision 的選用小模型資料，且逐檔驗證大小與 SHA-256；另提供同 manifest 的離線包 | 無模型時支援格式仍完整可用；模型只增加人工審核候選。source、dependency、bundle、runtime 四層必須證明文件內容無外洩路徑 |
HSD-CLAUSE-S03-001,§3,69,acda2ef87684e0d12c07dea1f3bb88c377d23d8a01917b9f455015b0232e6994,HSD-REQ-REL-002,8. 只有在輸出重新開檔、自我驗證與剩餘敏感資料檢查通過後，才看到「安全副本已建立」。
HSD-CLAUSE-S04-001,§4,75,86b0f26e8b1c8ebd0d3414edae6d68582009af2ca7a30767eb174d76a15b0d57,HSD-REQ-REL-002,v1.1 不做：
HSD-CLAUSE-S04-002,§4,77,80809a48171671f9ca8717f68e7fd2c12f7ac8e9613ce8da3192852174c5bf6b,HSD-REQ-REL-002,- 不直接處理 PDF。
HSD-CLAUSE-S04-003,§4,78,4f0d96fb861da586d8349402617ad3427454621c86266e4f8acb3461dbfcbb3e,HSD-REQ-REL-002,- 不內建 PDF 轉換器。
HSD-CLAUSE-S04-004,§4,79,9ceef9560b3edbc612934cee9a4abff8b212236c9a92c7e74072eacdae86b9e4,HSD-REQ-REL-002,- 不上傳 PDF 到線上轉換網站。
HSD-CLAUSE-S04-005,§4,80,a8cf1fd7cd1a73770ef7297c4a16545211af8cc882c1530178f51d638ba10582,HSD-REQ-REL-002,- 不用 LLM 摘要、重寫或猜測 PDF 原文。
HSD-CLAUSE-S04-006,§4,81,1ced65320024d3ef0a739b2af08209a50671443158835c958269febd21d515c7,HSD-REQ-REL-002,- 不做完整 Word 或 Excel 編輯器。
HSD-CLAUSE-S04-007,§4,82,0647421e49c3036589b020bcae23043586a416394785462e9f01209d3e50e976,HSD-REQ-REL-002,- 不承諾 Office 版面像素不變。
HSD-CLAUSE-S04-008,§4,83,9fbe72179919fd5486e0d2c1d69dc5367252c225e9e1e4034eb4e314eab81c99,HSD-REQ-REL-002,- 不支援舊式 `.doc`、`.xls`。
HSD-CLAUSE-S04-009,§4,84,2cd00939e9680615610f0c05b033044f27bdd7ceb5bc0c8a96da17ef1208a9eb,HSD-REQ-REL-002,- 不支援巨集與可執行 Office 格式。
HSD-CLAUSE-S04-010,§4,85,b3bebdc220f8a5db211c40e4cedef746e4edc5a34346012bbf8031381771ceb4,HSD-REQ-REL-002,- 不修改原始文件。
HSD-CLAUSE-S04-011,§4,86,f322288c7676fab81842e52b82a61a9e270e254805e6157edc464e071e59b91f,HSD-REQ-REL-002,- 不自動接受偵測結果。
HSD-CLAUSE-S04-012,§4,87,ef539e18067810908a7a6002cd56f176b0dafb33d644b0c1ad44b2f6880b5f60,HSD-REQ-REL-002,- 不把未檢查圖片、嵌入物件、外部資料或快取默默帶入安全副本。
HSD-CLAUSE-S04-013,§4,88,dcec588054e6cf0cd9b16605acfacd0a8958af5b3e0a1553aaf6d4f3a72d2e5a,HSD-REQ-REL-002,- 不因格式擴充而降低 v1.0 Token、Mapping、Audit、Export Guard 或 lock cleanup 要求。
HSD-CLAUSE-S04-014,§4,89,00cd32b0ae2743dc9652a549e9dbe30b7cac99ce8eec8cfb04eeb237d2786837,HSD-REQ-REL-002,- 不在同一 release 一次宣稱四種新格式都正式支援。
HSD-CLAUSE-S05-001,§5,97,dc0b17fdc96c442b70f3353800afe6bc0d4be6babdef51e19568337222b27731,HSD-REQ-FND-001,格式 spike 可在隔離目錄先行，但任何 v1.1 production merge／公開測試版不得繞過現有產品未完成 Gate：
HSD-CLAUSE-S05-002,§5,108,3a5b69d18ebbe34d3e957d16ab188229d5ff7cf5da7a065419cd935e598ed726,HSD-REQ-FND-009,v1.0 的 105 Acceptance 通過是必要條件，但不是上述人工與整合 Gate 的替代證據。格式擴充不得掩蓋或延後基礎安全債。
HSD-CLAUSE-S05-003,§5,121,683b61644abe5056babb2c5137a2ca9be7915307a1fca0cd48ae688db333f3bc,HSD-REQ-REL-002,產品不得使用模糊的「支援 Office」。必須顯示精確副檔名與限制。
HSD-CLAUSE-S06-001,§6,145,4f347638c2cffcc3b041c6883c3108457701008c6102e798c8fc93d8037d853e,HSD-REQ-PDF-001,2. 不得把原始 PDF 上傳到線上轉檔網站、遠端 OCR 或未明確授權的雲端模型。
HSD-CLAUSE-S06-002,§6,146,e300aaee9332b0bba23a36d59faf1ff5d5805a53bcc0da609eed441376049ddb,HSD-REQ-PDF-002,3. 文字型 PDF 必須以本機 parser 抽取，不做內容改寫。
HSD-CLAUSE-S06-003,§6,147,f8e7f148a02947aac70af6269a8c9a1a1c3810a9c224c1d0b87590f876da8da2,HSD-REQ-PDF-003,4. 掃描型 PDF 必須以本機 OCR；需記錄總頁數、成功抽取頁數、OCR 頁數與空白／失敗頁數。
HSD-CLAUSE-S06-004,§6,148,9126c261cee8ca2f160a1e30bd48de33d6efb20ce065d508e514a09228adcf8f,HSD-REQ-PDF-004,5. 任何頁面沒有文字、順序明顯錯亂或表格嚴重缺漏時，MD 不得標記為「已完成轉換」。
HSD-CLAUSE-S06-005,§6,149,21db66e305b7291df29a925e35bb43e5bc49c45f267081d6b35e0eed4d36eeb4,HSD-REQ-PDF-005,6. 產出的 MD 必須是嚴格 UTF-8，絕對路徑不得寫進可交付內容。
HSD-CLAUSE-S06-006,§6,151,e669885a597ed7a769f5b6b0782ca99a3ddc9bdd143e9b5513b951fb329bce32,HSD-REQ-PDF-001,8. PDF 原檔與未安全化的轉換 MD 不得因推薦流程自動複製進 Vault。
HSD-CLAUSE-S06-007,§6,152,1b582d44fc5889fb63f0ad729d022e0ac9cbcd7c6b87bc49bea4a6996aaf4e9b,HSD-REQ-PDF-002,9. 若既有工作流程必須先把原始 MD 放入 Obsidian，只能使用專用、本機、關閉 Sync 且停用無關外掛的來源 Vault；這是相容例外，不是首選推薦。
HSD-CLAUSE-S06-008,§6,161,af4fa7e7a9e845a8c2cd27ad17e2b20a58aeb30d4fe32610189ce8afe7200760,HSD-REQ-PDF-003,- 不以摘要字數或 LLM 回覆成功作為轉換證據。
HSD-CLAUSE-S06-009,§6,162,2683eeae631b7875250e18c09e8d728f169501437d7a5007a396ce5046f12899,HSD-REQ-PDF-004,- Agent 必須讀回實際 MD 檔，不只相信轉檔命令 exit 0。
HSD-CLAUSE-S06-010,§6,166,32640223e635656271cc3f34b068572f87e42b02b954e5721df741c2591e160d,HSD-REQ-PDF-005,PDF 前置流程雖不在外掛 runtime，仍是推薦路徑的一部分，必須 fail closed：
HSD-CLAUSE-S06-011,§6,180,0cbdb5e5c5b1eb6cda78ecb9c4dd96dcae318b1db8615ffc52c3915b1baae0eb,HSD-REQ-PDF-001,Agent 必須使用可終止的本機 process，超限／timeout／取消後刪除不完整 MD 與 OCR temp，不把 partial 結果標為完成。PDF page count、object count、decoded stream bytes 與 pixel budget 在 decode 前可預知時先阻擋，串流期間持續累計。
HSD-CLAUSE-S07-001,§7,188,0875d6dca702084e4cfea150fd0adca4a6d2b09d88cb1a63e60bc65c281f00a5,HSD-REQ-UX-001,新格式不提供繞過安全架構的 Quick Flow。合法順序固定為：
HSD-CLAUSE-S07-002,§7,190,a99ddf8c7d2f4d88cc9613dd31ab9328bc4ba3c13f6fcdfbe148889112b1c319,HSD-REQ-UX-002,1. Welcome／Client Manager／Job Dashboard 與既有全域導覽維持 v1.0。
HSD-CLAUSE-S07-003,§7,196,af1854e55a3a4631956b14e77f411c59b3717cb47c7224c54823352809d77065,HSD-REQ-UX-003,Client 未解鎖、Job 未建立、Secure Store 不可寫、JRK 不可用或已有另一 writer 時，選檔與輸出都停用。
HSD-CLAUSE-S07-004,§7,205,a77bec908b3268d290d894eaa1d140d857e452c0996af20c345913d077bcd24c,HSD-REQ-UX-004,選檔器只允許目前已放行格式。未放行格式仍可顯示，但不可選取或必須立即說明原因。
HSD-CLAUSE-S07-005,§7,215,01aee78f8e4b177f9386ca6a5ca90124c5cf6a65eeaa6faca8f656fe0a8fa93b,HSD-REQ-UX-005,完整來源路徑收在「檔案資訊」，不得與輸出路徑並列造成混淆。
HSD-CLAUSE-S07-006,§7,228,fb27f1a1c8593f430d71325955c5cb4f053dc8a96246c642a01286596afc58e1,HSD-REQ-UX-006,若不能完整處理，顯示：發生什麼事、是否建立副本、下一步。不得只顯示內部錯誤碼。
HSD-CLAUSE-S07-007,§7,251,acd4d35c099af17f4d97557e66bbf77cfee3881523c862be30a630a4b34e72ec,HSD-REQ-UX-001,所有來源、預覽、路徑與 Token 只用純文字 DOM／`textContent`／text nodes，禁止 Markdown renderer、`innerHTML`、外部資源與 Obsidian URI。
HSD-CLAUSE-S07-008,§7,259,464ed5526555aa935aaaa82514abf20b6f270c263ee2aea9f9b1240fc75938f0,HSD-REQ-UX-002,- 圖片等未自動掃描內容不得批次接受。
HSD-CLAUSE-S07-009,§7,270,6277f3b822218aead242fe4832cf133709fc0bdbcc043c7cbc4c50e1493f53b4,HSD-REQ-UX-003,在客戶字典或人名辨識尚未完整可用時，固定人工檢查是 release blocker，不得因 detector 沒產生 candidate 就略過。
HSD-CLAUSE-S07-010,§7,274,74640ad2dcc3e2efdbd5b3c886d9ede8c34a7f2f0b711d08a39462de3b2647b3,HSD-REQ-UX-004,完成頁的主要操作保持精簡，但不得隱藏風險狀態：
HSD-CLAUSE-S07-011,§7,276,ca4298b6bc560623d0b8a25db5c96a0f0e7e133464f64c7146038a726ccba116,HSD-REQ-UX-005,1. 無保留原文、accepted residual 或人工媒體確認時顯示「安全副本已建立」。若存在任一項，改顯示「安全副本已建立，仍有你確認保留的內容」，並置頂列出三類計數與不可忽略警告。
HSD-CLAUSE-S07-012,§7,283,4a79999e7953e6e6f393ddb2aedb894981ca0dbae8a87dd30620063244887d3d,HSD-REQ-UX-006,完成後不得繼續顯示大量審核按鈕。retained-original、accepted-residual、manual-media-review 警告不得收合或只用顏色表示。
HSD-CLAUSE-S08-001,§8,312,eeac270010f272d0c26d89ace1ce328ccff0cf81531b44a14ddb8817fa93efa2,HSD-REQ-FND-005,Core detection、dictionary、review、token authenticity 與 mapping encryption 維持平台無關。格式處理不得把 Obsidian／Electron 依賴帶進 Core detection。
HSD-CLAUSE-S09-001,§9,348,9d41058bcdb1283473d091baf815f11dac4f8925b10891cd512f794f0247b004,HSD-REQ-FND-003,不得暴露：
HSD-CLAUSE-S09-002,§9,377,753acad1dac22351369fc843b6477997835b366046d898cafa83ce9097eb07e4,HSD-REQ-FND-005,Core candidate 的 `start`／`end` 繼續使用該 `sourceText` 內的 JavaScript UTF-16 code unit offset，`end` 為 exclusive。OOXML part、run、sheet、cell 與 raw byte 位置由 format locator 另外保存，不得拿 XML byte offset 取代 Core offset。
HSD-CLAUSE-S09-003,§9,382,fc2908e6d50a71fa45ac9bb9e1ff02a49919050c3baccf3b61e80f073c651e45,HSD-REQ-FND-015,- 未加密 manifest、source text、logical locator 與原始檔名不得寫入 Vault、輸出 staging、Safe Package、Audit、log、錯誤報告或 `data.json`。
HSD-CLAUSE-S09-004,§9,384,e51f10702233173bac1aa421214a88c96ec709bd6a180bc539565907ac0fbfa0,HSD-REQ-FND-003,- Client lock、Job switch、取消、view close、plugin unload 後，必須清除記憶體中的 manifest、thumbnail object URLs 與衍生 preview。
HSD-CLAUSE-S09-005,§9,388,9652e5164fae7bcb023eaadae955055cce3500976bab40f039ae8b41d1351c31,HSD-REQ-FND-005,RewritePlan 必須：
HSD-CLAUSE-S09-006,§9,394,1101c1eb4667de3cb20efcaecdf649ac11464e17d737b40490b85b68228f63af,HSD-REQ-FND-015,- 不包含明文 Mapping、Key 或不必要原文。
HSD-CLAUSE-S09-007,§9,398,9566c9ce95c494a1ee892a1c5ec90dca97770b09d98a1fbefcb83ac0900a3264,HSD-REQ-FND-003,正式 artifact 必須由獨立 parser 路徑重新開啟。只用同一個 serializer 回傳成功不算驗證。
HSD-CLAUSE-S09-008,§9,400,0c8d1effa8ec1e14649d18df9754696dbada7cfeabf7d50d43d59def23593808,HSD-REQ-FND-005,重新開啟必須確認：
HSD-CLAUSE-S09-009,§9,412,ac7795842cfb3be2f9d131f5cc063d95190dc77f7cab7d7951abf980176d1eb0,HSD-REQ-FND-015,所有 v1.1 occurrence record 必須包含 `formatLocatorV11` tagged union，不是可選欄位。共同規則：
HSD-CLAUSE-S09-010,§9,415,b7d814fdbe9df13e77aaa526563673477164d12267017bb914541130fab7755e,HSD-REQ-FND-003,- `sourceTextSha256 = SHA-256(UTF-8(sourceText))`，不得先 NFC／NFKC、換行統一或 trim。
HSD-CLAUSE-S09-011,§9,416,94e917b418d3c4da750f3bc77761ab5811ecb2613c9aff6eaab6de67dbf169e3,HSD-REQ-FND-005,- Adapter 必須提供 logical ↔ container 的雙向映射及映射 hash；重新開檔後以該映射驗證 occurrence。
HSD-CLAUSE-S09-012,§9,418,cb4d76fbb19b59fc3a6f69375ff762cfbf0973838cc9fa14bf4387c23437813d,HSD-REQ-FND-015,- replacement 不得跨越不可改寫 boundary；遇到 tab、break、field instruction、cell boundary、relationship boundary 或 parser 無法映射區域即阻擋。
HSD-CLAUSE-S09-013,§9,453,629245926c338f1d633149f5bd62b8b31bdec43074ef9579eb1811ad5102535d,HSD-REQ-FND-003,DOCX `blockPath`／`childPath` 不是依賴可選的原生 ID，而是以 part root 起算、只計同 QName siblings 的 0-based canonical path，例如 `/w:document[0]/w:body[0]/w:p[3]/w:r[1]/w:t[0]`。Prefix 先轉成固定 namespace URI token；屬性排序不影響 path。重新開檔必須產生相同 path，否則 blocker。
HSD-CLAUSE-S09-014,§9,455,5d1224ad5b985b081afa0717908e439646a4882eaa99494c96ef19c0796dbd6c,HSD-REQ-FND-005,每個 replacement 依來源 `logicalStartUtf16` 升冪建立 prefix-sum delta map。對未被替換 occurrence：`artifactStart = sourceStart + sum(delta of replacements ending <= sourceStart)`；若 occurrence 與 replacement overlap，只有同一 TOKENIZED decision 可映射，其他情況阻擋。重複原文以 structural locator＋occurrence-level fingerprint 區分，fingerprint 固定為 `SHA-256(locator canonical JSON || original value UTF-8 || 32 UTF-16 units before || 32 UTF-16 units after)`。同一 surface 混合 TOKENIZED／RETAINED 時，每筆各自產生 `ArtifactLocatorV11`，不得用整個 sourceText hash 代替 occurrence 證據。
HSD-CLAUSE-S09-015,§9,460,a805aeb89a1a744ead26b40f568213fd467368f9c78b6f92d1364b912cf6c163,HSD-REQ-FND-015,"- CSV：surface 是完整 decoded field；`""""`、quoted newline 與 escape 映射必須可逆。只重編碼目標 field，prefix／suffix、整列其他 bytes 與原方言不變。"
HSD-CLAUSE-S09-016,§9,462,5a88ad9bad8ae26b167578aed1efe7325865ade9f75c8618b7d030446294f044,HSD-REQ-FND-003,- XLSX：shared string 必須 clone 後只改目標 cell；rich-text replacement 保留第一個字元所在 run style 與兩端 prefix／suffix。整格 number-display 轉 Token 時記錄原 cell type／style，不能把 display offset 當 raw value offset。
HSD-CLAUSE-S09-017,§9,464,2acabefacca4963dff0da29c58b23a93b38d36ba6cbbe498807ed994c088c9ce,HSD-REQ-FND-005,Golden corpus 必須涵蓋 emoji、surrogate pair、combining mark、重複原文、XML entity、quoted newline、escaped quote、跨 run 中段、rich text、尾端 occurrence 與 overlap blocker。
HSD-CLAUSE-S10-001,§10,488,927eed00c7615de500425fcc2c847ed6b73be153e897a2af4342fe279becddf2,HSD-REQ-FND-004,失效 scope 固定為目前 v1.1 單一來源 Job：
HSD-CLAUSE-S10-002,§10,492,5056666aea54de33b048d6d617a90f94cd6565ee20be1fc35a453895f08d804c,HSD-REQ-FND-006,- 只有 mtime／inode metadata 改變但 bytes SHA-256 相同：不使內容決策失效；更新 snapshot 前寫入不含路徑的 Audit event，並再次執行 preflight。
HSD-CLAUSE-S10-003,§10,495,b442dbd4fb420d29fc205ad43a9d19b9b053eda35fb5eb829e15a490ecfc5ea8,HSD-REQ-FND-004,取消／lock／close／unload 必須清除 plaintext buffers、DOM、object URLs、staging 與未提交 mutation；已認證加密的 Mapping、Job result、Audit 與 checkpoint 依 v1.0 PB-TXN-004 保留，不得因 UI 取消而刪除。
HSD-CLAUSE-S10-004,§10,497,9057c6e29f35d7936e884b41634433cf2c9015f44de9970e655a45541536eb97,HSD-REQ-FND-006,來源 bytes 在處理前後必須維持相同 SHA-256 與 size。mtime 依上述 byte-equal 規則處理；來源 bytes 改變視為 P0。
HSD-CLAUSE-S11-001,§11,526,a937a54cf2e21639d638ace5fde4ee2fa7c7b3b322e68032ef27115b579cd7c8,HSD-REQ-TXT-001|HSD-REQ-TXT-002|HSD-REQ-TXT-003|HSD-REQ-TXT-004|HSD-REQ-TXT-005,不得猜測或自動轉碼。介面要求使用者先以原程式另存 UTF-8。
HSD-CLAUSE-S12-001,§12,549,5f554a218ee5579d0cf5cc0d5581dbd70b849f1b41d5cf622aaa28c7f6e5f713,HSD-REQ-CSV-001,系統必須用逗號、Tab、分號三種 parser 做確定性判斷；只有唯一一種結果能維持完整列數、固定欄數與合法引號時，才可自動採用並繼續掃描。多種結果同時合理或無法形成穩定欄位時，必須以白話預覽要求使用者選擇；不得使用 LLM 猜測，也不得在模糊狀態直接輸出。
HSD-CLAUSE-S12-002,§12,555,f23eb54a068311861c3b02611101e8811198ac3fd4960781195c6513b0327d11,HSD-REQ-CSV-002,- 不因只顯示前 N 列而只掃描前 N 列。
HSD-CLAUSE-S12-003,§12,569,5689fa04c05bb8e1ea3eff66462a10142155f018f2febb52475c88fe1115ed4a,HSD-REQ-CSV-003,3. 第一個字元為 `=`、`+`、`@` 時一律 `CSV_ACTIVE_CONTENT`。
HSD-CLAUSE-S12-004,§12,570,633a5f9e5cccc787269d2a94c8cce4509a77dc27424a3f455a15e6a79fb474bc,HSD-REQ-CSV-004,4. 第一個字元為 `-`、U+2212 或其他 NFKC 後的減號時，只有整欄符合 `^-?(0|[1-9][0-9]*)(\.[0-9]+)?$` 才視為數字；其餘阻擋。
HSD-CLAUSE-S12-005,§12,571,98d3262fbecbe008f9273083921d3d199a4091f7bf5d50e875ac3e09ebcc229f,HSD-REQ-CSV-005,5. 任何清除前導字元後的 Excel／LibreOffice formula／DDE fixture 均必須阻擋。
HSD-CLAUSE-S12-006,§12,573,d8c07af5444cd446a7c2c5e72ce8b76051eafa3453821305c426e43a053c87eb,HSD-REQ-CSV-006,- 不自動修改公式。
HSD-CLAUSE-S12-007,§12,574,c14fb58db35b2a33f3e799c2bfb2fb7c76b749a5315d0d3af5533b9ac79a1b81,HSD-REQ-CSV-001,- 未處理時禁止輸出。
HSD-CLAUSE-S12-008,§12,576,b556ca260e0ebb082935dc90e8bcbd5d07c6ea11f59232070bf7389174c57b55,HSD-REQ-CSV-002,- 不能因 Hans SafeDoc 沒新增公式就忽略既有公式注入風險。
HSD-CLAUSE-S13-001,§13,600,5457f7139b492964e77017609c99711d2138b02dd3f5384c4c1f9374bdfafc3b,HSD-REQ-DOCX-001,敏感字串可能跨多個 `w:r`／`w:t`。Adapter 必須建立 logical paragraph text 與 run map：
HSD-CLAUSE-S13-002,§13,605,1ecb7a4d12785717bd5f6a5043e784f894a2a6131890d28b7fe7635dcd7505b2,HSD-REQ-DOCX-002,- 清空其餘被覆蓋 run 文字，但不得刪除未涵蓋結構
HSD-CLAUSE-S13-003,§13,608,df0830669a2e2bc33c0eee3fa8de1bf53cd704c026283d70ae909476b6399964,HSD-REQ-DOCX-003,不得使用 `indexOf()` 回找原文。
HSD-CLAUSE-S13-004,§13,612,bbd49b6283adf936ef6b0fe6cddedbd4e6a69d14f0d75d9d6f285f18137dc967,HSD-REQ-DOCX-004,DOCX closure 分兩層。第一層讓每個 package part／relationship 進入唯一 allowlist；第二層再分類允許 XML part 內的 surfaces。不得把 part 與 surface 混在同一守恆式。
HSD-CLAUSE-S13-005,§13,614,6473c5c6235d6243d7092fb4585c47e982290c1f7d85d4ab3f5a51b241582ef4,HSD-REQ-DOCX-005,OOXML closure 的三份機械正本為：`HANS-SAFEDOC-V1.1-OOXML-ALLOWLIST.csv`（part／Content Type）、`HANS-SAFEDOC-V1.1-OOXML-RELATIONSHIPS.csv`（source→target／Type／Mode／cardinality）、`HANS-SAFEDOC-V1.1-OOXML-SURFACES.csv`（namespace URI／QName／attribute／surface class／locator kind）。任何沒有精確列入三份正本的 part、edge、QName 或 attribute 一律 REJECT；`[Content_Types].xml` 只允許正本列出的 Overrides，以及實際使用的 `.rels`、`.xml`、`.png`、`.jpg`／`.jpeg` Defaults。
HSD-CLAUSE-S13-006,§13,629,1362c0c8bb69f146a24333ab6f0257125935eb7df27ad20c12f598af1292d0d6,HSD-REQ-DOCX-006,| `ALLOWED_STRUCTURE` | `word/styles.xml`、`word/settings.xml`、`word/fontTable.xml`、`word/numbering.xml`、`word/theme/theme1.xml` | 每種 0..1；QName／attribute 必須落在 Surface 正本，theme／font display names 走 `SCAN_BLOCK` |
HSD-CLAUSE-S13-007,§13,634,46133ccc391e05fd529b362827ba45bce11ac491c457fb48b18a788c7379a769,HSD-REQ-DOCX-007,Relationship Type 必須等於 `http://schemas.openxmlformats.org/officeDocument/2006/relationships/` 加以下 suffix：`officeDocument`、`styles`、`settings`、`fontTable`、`numbering`、`header`、`footer`、`footnotes`、`endnotes`、`comments`、`image`、`hyperlink`、`theme`；另允許 package core-properties、extended-properties、custom-properties 的官方 URI。除 `hyperlink` 可為 External 且必須進人工檢查外，其餘一律 Internal。所有其他 External relationships 都 REJECT。
HSD-CLAUSE-S13-008,§13,645,cad7ab33f0c1a06e2335e148d95af38404bb653db53346096d995eb93bcaf1d4,HSD-REQ-DOCX-008,簡單 content control 只有在無 `w:dataBinding`、所有文字都落在已映射 runs 時才可 `SCAN_REWRITE`。每個 input／output part、relationship 與 surface class 的 count 必須守恆。
HSD-CLAUSE-S13-009,§13,664,00a3f6e21d4561ed3afaa84d610d871f416f2529039282059efb7b1cc9c3672b,HSD-REQ-DOCX-009,首版不做 OCR。PNG／JPEG 可保留，但每張圖片必須：
HSD-CLAUSE-S13-010,§13,669,2be74850eae29eb84a5f43fbb4e8c9e43710716f5c8ae5063b9b92d0f4312dd9,HSD-REQ-DOCX-010,- 禁止批次接受
HSD-CLAUSE-S13-011,§13,673,3e6dc65213b665ad51841ac10c196956368eb8cbfb597e820db0e5be37834fd5,HSD-REQ-DOCX-011,完成頁固定標示圖片由人工確認，未經自動文字辨識。任何未確認圖片阻止輸出。
HSD-CLAUSE-S13-012,§13,679,4148e7a880ea6314b1818280c696b06ea772e5c09b60a7e74679336d556a84ad,HSD-REQ-DOCX-001,- 不承諾 Word／LibreOffice 渲染像素一致。
HSD-CLAUSE-S14-001,§14,716,c41887c03c06565ec5d9bd7c31f3d7fe395c39f5d30344dfdbf9272ac84aacb0,HSD-REQ-XLSX-001,審核不得只綁定可變的工作表顯示名稱。
HSD-CLAUSE-S14-002,§14,720,3be1d31105d86823275ea6b288f1b62d5231722831015c4642296bc4dfdc33da,HSD-REQ-XLSX-002,修改共享字串時不得直接覆寫原 index，避免其他儲存格一起改變。
HSD-CLAUSE-S14-003,§14,722,5d013a53d06eb91f2fcb8a323611581e44be0da1469fbe3304e59a984daa8132,HSD-REQ-XLSX-003,Adapter 必須：
HSD-CLAUSE-S14-004,§14,736,e0619656b44a9b78a679c9e04d89aa801e3118ab53f990ca5a89697b0e6f7ad6,HSD-REQ-XLSX-004,若安全代碼化，儲存格改為文字值但保留安全可保留的 style。介面必須告知該儲存格資料型別會從數字變文字。
HSD-CLAUSE-S14-005,§14,740,66b9a4b6b266c75d998907398d40f878b5924a8f31953cac7b557319dc2c2f10,HSD-REQ-XLSX-005,- 第一版拒絕所有含公式的 XLSX，不區分 replacement count。
HSD-CLAUSE-S14-006,§14,751,0d783f26a38ca71e3b61522ef6070a78aa166f662da0ea454c4bd4e87b33a43e,HSD-REQ-XLSX-006,XLSX 同樣以三份 OOXML CSV 為機械正本。Relationship edge 必須同時符合 source pattern、target pattern、完整 Type URI、TargetMode 與 cardinality；XML node 必須符合完整 Transitional namespace URI、QName、attribute、node kind 與 surface class。任何 mismatch 一律 REJECT。
